Rate|Date|Product_Name|User_Function|Company_Size|Industry|Title|Text
5.0|Mar 4, 2022|Talend Data Fabric|Data and Analytics|500M - 1B USD|Travel and Hospitality Industry|Years of good experiences|I started my ETL development experience Talend and now I don't want to switch to any other tool.
3.0|Jan 29, 2022|Stitch|IT|50M - 250M USD|IT Services Industry|Stitch makes data movement easy between third-party tools and your Data Warehouse.|Good product. Stitch offers a large range of data source connectors, and setup is very easy.
5.0|Mar 15, 2022|Talend Data Fabric|Data and Analytics|30B + USD|Retail Industry|Best product service ever.|The development and testing process has fastened as the support that is needed is quick.
4.0|Apr 5, 2022|Talend Data Fabric|IT|Gov't/PS/ED 5,000 - 50,000 Employees|Education Industry|Great product - not an out of the box tool that will solve your business problem|The tool is great but requires a lot of learning curve
5.0|Mar 29, 2022|Talend Platform for Data Services (Legacy)|Data and Analytics|Gov't/PS/ED 5,000 - 50,000 Employees|Government Industry|Quickly becoming ETL tool of choice|Excellent product, easy deployment and integration
5.0|Jan 3, 2022|Talend Platform for Data Services (Legacy)|Data and Analytics|<50M USD|IT Services Industry|Talend Data Service Platform reviews|Talend Data Services Platform ease my task on doing data integration and data cleansing for a large volume of data.
3.0|Dec 17, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|30B + USD|Healthcare and Biotech Industry|Its a great ETL tool with unlimited possibilities but enhancements are needed|Overall i have good Experience with talend. Service response times should get better
5.0|Nov 10, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|250M - 500M USD|Energy and Utilities Industry|Solid technology, always improving, and highly recommend the entire product suite.|Talend continues to proactively innovate, enhance, and expand the product suite to maintain their market-leading position. As such, any features that may be part of some niche competitor are quickly available in the Talend powerhouse product line. ...
3.0|Nov 3, 2021|Talend Platform for Data Services (Legacy)|IT Security and Risk Management|10B - 30B USD|Banking Industry|Data Integration evaluation|I am a new talend developer so a few of these I do not know of yet. I took a training recently and it was really in depth. Within 7 hours into a training i was able to complete my own talend script that was transforming data. The community is also very good ...
3.0|Dec 2, 2021|Talend Platform for Data Services (Legacy)|Project and Portfolio Management|1B - 3B USD|IT Services Industry|Good open source tool for data integration|Good open source tool for data integration with a wide range of in-built components.
4.0|Nov 9, 2021|Talend Platform for Data Services (Legacy)|Software Development|<50M USD|Services (non-Government) Industry|Once upon a time ... the best. Today a dinosaur, slow and not competitive|Talend offers a variety of tools. The tools are quiet robust and do their job. The visual creation of jobs is ok.
3.0|Nov 19, 2021|Talend Data Fabric|Data and Analytics|30B + USD|Healthcare and Biotech Industry|Good middleware playing a key role in the integration between on prem and cloud solutions|Talend is a really good middleware which plays a key role in hybrid complex scenarios.
5.0|Nov 3, 2021|Talend Data Fabric|Data and Analytics|30B + USD|Banking Industry|Powerful but complex for users|Where I answered N/A, I was not involved. I am mort impressed with the post-implementation support from the very talented experts at Talend.
4.0|Nov 8, 2021|Talend Platform for Data Services (Legacy)|Software Development|50M - 250M USD|Consumer Goods Industry|Talend platform for Data Services - our goto platform|The tool is extremely intuitive to use and it is also very versatile. We are using it for quite some years now and it has improved with every release.
5.0|Nov 9, 2021|Talend Data Fabric|Data and Analytics|1B - 3B USD|IT Services Industry|360 view of data management with Talend|With Talend almost all the angles of using Data are covered and we are able to create complex integrations satisfying the needs of our clients.
4.0|Nov 9, 2021|Talend Data Fabric|Management / Business Consulting|<50M USD|IT Services Industry|Excelent ETL and ELT software with deployment consistency|excellente software for both ETL and ELT data movement. DevOps integration could be improved, as merges tend to be problematic. We dont need to be worries of errors in production environments.
4.0|Nov 9, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|Gov't/PS/ED <5,000 Employees|Government Industry|A real versatily and powerful platform|Truly one of the best platforms I had to use. Completeness without complexity. Enables fast moves in the load of data we're using.
4.0|Nov 5, 2021|Talend Platform for Data Services (Legacy)|IT|50M - 250M USD|Services (non-Government) Industry|Talend data integration is very a RAD for the integration|Talend is a good vendor and we have an excellent collaboration with the CSM and support team. The CSM take the time to understand very the needs of cie.
4.0|Nov 8, 2021|Talend Data Fabric|Research and Development|50M - 250M USD|Construction Industry|It's a very complete product for data integration, big data or for setting up Apis|Very complete platform and very easy to use. We use to do it diffrent things like file transfers, data processing or even the implentation of APIs
5.0|Nov 3, 2021|Talend Platform for Data Services (Legacy)|IT Services|Gov't/PS/ED 5,000 - 50,000 Employees|Education Industry|intuitive and effective tool|Allows preset all your metadata, connections etc.. and after that allows rapid development, also Talend has extremely fast and intuitive learning curve
5.0|Nov 9, 2021|Talend Data Fabric|Software Development|50M - 250M USD|IT Services Industry|Best tools for Data Integration and Data quality assets|It's really interesting plateform, large compatibility and capability to manage simple as a complex Data Transformation.
4.0|Nov 9, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|1B - 3B USD|Banking Industry|Does well the work|we are very satisfied with it's use, we don't yet use all it's capabilities and still have a quite basic capabilities use of the product.
4.0|Nov 3, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|250M - 500M USD|Insurance (except health) Industry|Talend data integration|Complex UI. Highly capable. Not for non-technical users. should be able to export to single XML, for metadata and lineage.
4.0|Feb 18, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|Gov't/PS/ED <5,000 Employees|Education Industry|Good product for data integration across various sources of data|Performing data integration with Talend Studio on remote engines managed through the cloud, has been a success overall. Though the training is very useful to learn the basics, we found we needed to get "hands on" with the product and dig into the documentation to really learn how ...
5.0|Mar 14, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|3B - 10B USD|Healthcare and Biotech Industry|One stop solution for Data ingestion and Data Management|Talend tool is very flexible to use. Since the tool is build on top of java ,we could able to customize our needs in the data ingestion process. Any developer who had prior ETL experience can able to switch to TALEND ETL very easily, if developer has a additional Java knowledge, then they can ...
5.0|Mar 18, 2021|Talend Data Fabric|Management / Business Consulting|250M - 500M USD|Healthcare and Biotech Industry|Talend is the best ETL tool|Talend is very useful to handle most of the sources and always updated to catch up with the latest technology.
5.0|Feb 24, 2021|Talend Data Fabric|IT|30B + USD|Healthcare and Biotech Industry|Simple ETL Tool Compared to Competitors|Talend provides a set of tools which allow small teams to quickly start build applications on top of their data for all sorts of purposes. It is very easy for most developers and has a small learning curve for non-developers but overall is much easier than most ETL tools on the market. ...
5.0|Feb 16, 2021|Talend Data Fabric|IT|3B - 10B USD|Consumer Goods Industry|Talend - One stop shop for all your data integration needs|Talend provides a hassle free process of connecting to heterogeneous data and apply various kinds of transformation over the data. Very easy to learn and master the development. The overall experience was great as we were able to design and develop top grade applications using ...
4.0|Feb 15, 2021|Talend Data Fabric|Data and Analytics|50M - 250M USD|Finance (non-banking) Industry|Talend Review|Overall the experience working with the vendor has been good. They are prompt in responding to all communications. The have a robust community that can assist if needed and the support team is responsive when using their ticket system. The meetings that the company holds have been ...
4.0|Feb 18, 2021|Talend Data Fabric|Data and Analytics|<50M USD|Media Industry|Great Tool for all data integration Projects|We use Talend integration connects all data in from and within our company. It ensures there is quality in data processes and everything to do with data is handled properly. When we combine data integration with data preparation and data stewardship, it improves our data cleaning ...
5.0|Mar 11, 2021|Talend Data Fabric|Data and Analytics|50M - 250M USD|IT Services Industry|Talend Data Fabric Review by our organization's Employee|We recently decided to move to Talend Data fabric for our EDW and middleware projects, and the transition has been very smooth so, with getting a lot of benefits.
3.0|Feb 15, 2021|Talend Data Fabric|Data and Analytics|50M - 250M USD|Miscellaneous Industry|Powerful tool for small business.|The product allows you to build basically anything that you would like which is a huge positive, though the scalability, and basic management, of tasks as you need them in multiple environments is very cumbersome and is not intuitive.
5.0|Feb 18, 2021|Talend Data Fabric|Data and Analytics|<50M USD|Miscellaneous Industry|Data Integration Simplified|As a start-up, we were looking to implement a tool for data integration that provided us value for money and didn't add up in terms of heavy infrastructure and license costs. Talend got us up and running and has scaled very well with our growth as the data pipelines kept increasing in terms ...
5.0|Mar 16, 2021|Talend Data Fabric|IT|<50M USD|Miscellaneous Industry|Talend as Integration tool|talend data fabric is fully equipped to support any use case like complex transformation, high volume, api integration.
4.0|Feb 17, 2021|Talend Data Fabric|Data and Analytics|1B - 3B USD|Construction Industry|Talend Data Fabric - still a great product|Generally positive. Coming from Talend's on-premise deployment was the biggest hurdle. The TAC (on-premises) does not equal TMC (cloud). If you are moving from on-premise to cloud, in most cases it will force you to conform to best practices which is a good thing. Having said that, the ...
3.0|Feb 22, 2021|Talend Data Fabric|Data and Analytics|<50M USD|Miscellaneous Industry|Fair to Good Product|Overall experience is neutral to positive, greatest downfall of this product is the lack of good documentation online.
4.0|Feb 16, 2021|Talend Data Fabric|Software Development|<50M USD|Services (non-Government) Industry|TMC was great, Remote engine needs some love|We used the Talend Management Console every day to monitor our jobs and it has been an excellent way to keep tabs on them and to change at what frequency they run. The integration with the Talend Remote Engine is what we have had problems with. The remote engine is ...
3.0|Mar 17, 2021|Talend Data Fabric|Data and Analytics|<50M USD|Miscellaneous Industry|Talend is great but it can be better !|i'd like for a way to start Talend jobs from Python using a simplified API. currently, its difficult to run a talend job packaged in Nexus.
4.0|Feb 16, 2021|Talend Data Fabric|IT Services|250M - 500M USD|Manufacturing Industry|Great tool for Data Integration tasks|Talend Fabric has a lot of functions, some could be improved and extended, especially made more flexible. The performance difference between db-internal processes vs. processing via Talend is partially huge - therefore the fields of usage need to be well considered.
5.0|Feb 16, 2021|Talend Data Fabric|Data and Analytics|<50M USD|IT Services Industry|Moving to Talend for our ETL was the best decision we made|Talend helped us to migrate our Data architecture from an SQL database to a cloud database which requires little to no human intervention.
3.0|Mar 17, 2021|Talend Data Fabric|Data and Analytics|50M - 250M USD|IT Services Industry|Great ETL tool that allows user to implement complex transformation logics|Have a wide range of data sources it supports, easy management in the cloud for artifact/task/plans. It would be nice if there is an integrated way in cloud to do source control.
4.0|Feb 15, 2021|Talend Data Fabric|Data and Analytics|250M - 500M USD|Miscellaneous Industry|Talend ETL/Cloud easy to use and very powerful|Talend Studio is an easy to learn and use tool. As good as and better than other ETL tools around.
3.0|Mar 17, 2021|Talend Data Fabric|Data and Analytics|30B + USD|Healthcare and Biotech Industry|support is not great. long turnaround times|support is not great. long turnaround times. most of the tickets went to feature request which will get rejected by r&d after waiting for months
4.0|Mar 19, 2021|Talend Data Fabric|IT|50M - 250M USD|Services (non-Government) Industry|Talend data integration, very good tool for time to market !|Talend data integration offer a lot of functionnality for integrating a various sources of data, the support are the best thing of the Talend product. The communauty is very active too
3.0|Feb 17, 2021|Talend Data Fabric|IT Services|250M - 500M USD|Finance (non-banking) Industry|Required learning curve, once familiar with the product it is relatively easy to use.|The Talend Studio is ease of use once you're familiar with the components, but the unit testing jobs created by existing Studio are not easy to configure, plus not very helpful. An enchancement in unit testing area will be appreciated. ...
4.0|Feb 16, 2021|Talend Data Fabric|Data and Analytics|<50M USD|IT Services Industry|Talend Cloud Review|Talend Data Cloud has some limitation compared to Talend Administrative Control(TAC). This is due to non existence of nexus repository as well as non existence of environment wise notification generation.
5.0|Mar 18, 2021|Talend Data Fabric|Other|<50M USD|IT Services Industry|Very good Product|Have been using Talend products from last 2 years. Really exceptional support and performance. Really happy to use this product. Userfriendly.
4.0|Feb 15, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|50M - 250M USD|Banking Industry|Nice and Scalable Data Integration framework|Overall data movement between multiple connectors work pretty well. There are some performance issues with large data sets. I would like to see a web based development interface outside of Talend Studio. ...
2.0|Feb 15, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|1B - 3B USD|Banking Industry|Cons and Pros of Talend|Our overall experience with Talend has been very poor. We were much happy with Informatica and life has become miserable after switching to Talend. It does not work at all with Salesforce and also has development time higher than other ETL tools like Informatica. ...
4.0|Feb 16, 2021|Talend Data Fabric|Data and Analytics|1B - 3B USD|Telecommunication Industry|Talend TIC|TALEND is one of the leading BI tool in market, it helps to solve our most of the day to day work with multiple data source connections.
5.0|Feb 18, 2021|Talend Data Fabric|IT|<50M USD|Retail Industry|One of the Best Tools To Meet Customer Needs|I am using Talend suite since last eight years and have implemented the tool for ETL and other purpose across multiple projects. What i love about Talend is it's open source nature, ability to integrate with sources easily and flexibility to add custom plugins. Best Tool in market .
4.0|Feb 15, 2021|Talend Platform for Data Services (Legacy)|Data and Analytics|30B + USD|Retail Industry|Good Tool for Data Integration|Primarily I work on Data Integration Area. We see some of the Inbuild Components are very good for my day to day work. Some of the components like Connection to Couchbase is pretty slow. Also JSONExtract component is also pretty slow.
4.0|Mar 19, 2021|Talend Data Fabric|Data and Analytics|30B + USD|IT Services Industry|Very good experience overall.|very good experience with talend products. Lots of integration possible and many options to customize processes. also easy to ramp up with.
5.0|Feb 16, 2021|Talend Data Fabric|Software Development|1B - 3B USD|Miscellaneous Industry|Talend Integration Cloud - scalable,good performance, easy deployments|The overall experience with talend is good. The deployment process with multiple environments has been extremely simplified with Talend Cloud .
2.0|Feb 15, 2021|Talend Data Fabric|Data and Analytics|250M - 500M USD|Manufacturing Industry|Okay ETL tool|Clunky, buggy and not great. Feels like i'm in the 80s. For example when publishing to cloud it doesn't seem to always work and then I have to republish
5.0|Feb 17, 2021|Talend Data Fabric|IT|3B - 10B USD|Hardware Industry|orchestration & integration with different systems|we have used talend for its integration with various systems like TWS, EDWH & different types of sources. Its well integrated with Azure as well.
4.0|Feb 16, 2021|Talend Data Fabric|Data and Analytics|1B - 3B USD|Finance (non-banking) Industry|Talend Data Fabric is cool|Overall a great platform for building data integration applications. It has excellent integration with cloud computing platforms like AWS.
4.0|Feb 16, 2021|Talend Data Fabric|Software Development|50M - 250M USD|Telecommunication Industry|Good Product|the product is good overall . faced few issues in logging the data and analysing the count of rows in the ongoing running process - means percentage of completion of the process cannot be determined. ...
3.0|Feb 15, 2021|Talend Data Fabric|Management / Business Consulting|1B - 3B USD|Manufacturing Industry|Good to mid level project not for bigger projects due to lack of performance scaling|This product design is good for <100 jobs project but is hard to maintain >100 jobs and scaling of jobs
4.0|Feb 15, 2021|Talend Data Fabric|Data and Analytics|30B + USD|Construction Industry|Over all it was a nice Experience|It was a good experience on using the tool and it reduces the development time faster. Helps us to deliver business need more agile in nature.
3.0|Feb 16, 2021|Talend Data Fabric|Data and Analytics|3B - 10B USD|Travel and Hospitality Industry|review for Talend Integration Cloud|Not performant out of the box. Have had to spend too much time determining performance improvement techniques to make the application usable.
4.0|Feb 19, 2021|Talend Data Fabric|IT Security and Risk Management|30B + USD|Miscellaneous Industry|Good but could improve|Talend Cloud is great, but have experienced some bugs with Talend Studio. The performance of the tool can be poor and it will crash.
5.0|Feb 17, 2021|Talend Data Fabric|Data and Analytics|50M - 250M USD|Miscellaneous Industry|Talend Review|Very good experience in integrating and profiling data for our use cases. It is a nice quick integration tool with various components.
4.0|Feb 18, 2021|Talend Data Fabric|Data and Analytics|<50M USD|Consumer Goods Industry|user experience|Talend Cloud and Bigdata components are very easy to use. Talend Cloud and Bigdata components are very easy to use and fast to learn.
4.0|Nov 29, 2020|Talend Data Fabric|Data and Analytics|10B - 30B USD|Banking Industry|Talend: An Indispensable Tool|This is one of the best tool for the data marts. The data collection and analysis have been very well managed by this powerful tool. This comes with cloud extension which makes migration so easy and simple. The data pipeline can be visualized which gives a much better picture about the ...
4.0|Nov 22, 2020|Talend Data Management Platform (Legacy)|Other|500M - 1B USD|Healthcare and Biotech Industry|Talend Data Management used for source to data lake connectivity|Overall experience was just satisfactory, we opted Talend data Management also because of existing relationships in addition to that Connectors support on cloud like Amazon Web Services. File management are features to look forward.
5.0|Dec 3, 2020|Talend Data Fabric|IT|Gov't/PS/ED <5,000 Employees|Education Industry|Client Technical support|The product is good, easy to use, and easy to learn. Talend Academy platform is excellent. however, the support, especially technical is not up to the mark.
5.0|Nov 24, 2020|Talend Data Management Platform (Legacy)|Data and Analytics|<50M USD|Finance (non-banking) Industry|Excellent tool for everyday ETL use.|Excellent overall, wide breadth. Have never failed to achieve an ETL performance with this software. Would recommend to anyone.
4.0|Nov 1, 2020|Talend Data Management Platform (Legacy)|Data and Analytics|1B - 3B USD|Healthcare and Biotech Industry|Excellent data management tool for ETL processes|Talend is one of the most effective data integration and management tool. With it's subscription license with warranty, it becomes one of the most secure and efficient platform for all the data related processes. It provides easy to market processes like integrating data from variety of ...
4.0|Nov 24, 2020|Talend Platform for Big Data Integration (Legacy)|IT Services|<50M USD|Services (non-Government) Industry|Talend is a good product for integration of all spheres of the business !|Talend is a good product for integration of data and systems. The unified platform is very good thing for small team. We can share the skills overs BI and TI teams.
5.0|Nov 24, 2020|Talend Platform for Big Data Integration (Legacy)|IT|Gov't/PS/ED <5,000 Employees|Education Industry|good|the overall experience was good, I believe it is a great tool and easy to use and integrate with my platform. looking forward to new features
5.0|Nov 24, 2020|Talend Data Fabric|Management / Business Consulting|250M - 500M USD|IT Services Industry|Talend is great|we worked well together for POC. we wanted to prove that the talend product worked so we installed it to build data lineage
5.0|Aug 20, 2020|Talend Data Fabric|Data and Analytics|250M - 500M USD|Telecommunication Industry|Talend is a powerful software at a lower cost.|I consider that this tool has a great performance, since we have been using it for a while for our internal data warehouse, and so far we have not had problems that cannot be handled quickly by the support service, and I clarify that it has been quite active. This tool was a bit tricky at first ...
4.0|May 10, 2020|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|50M - 250M USD|IT Services Industry|An data integration tool with less cost and more efficiency - Talend platform|As a data management and solution platform, our organization handling many data migrations and integration projects through the Talend integration tool. Initially, we used the Talend platform for warehousing purposes. Then we started using the tool for big data integration processes, ...
5.0|Jan 22, 2019|Talend Data Fabric|Data and Analytics|250M - 500M USD|Retail Industry|Implementation was easy. Documentation and Support helped with issue resolutions|We partnered with Talend implementation team to implement the tool within a week. This worked out well as we were able to stand up the tool with no issues. Talend documentation helped my team in getting familiar with the technical details. This was possible as my team had a solid ...
4.0|Feb 5, 2019|Talend Data Fabric|Data and Analytics|30B + USD|Retail Industry|Talend - Pros and Cons|I had a pretty good experience with the Talend. The flexibility to work with cloud and in-premise databases is the success factor for our project. On the cons, the per user license cost in very high.
5.0|Feb 27, 2019|Talend Data Fabric|Management / Business Consulting|10B - 30B USD|IT Services Industry|Successful Data Integration|Perfect data integration tool to satisfy end user needs. The open source natures sets it apart from others.Easily recommended to others.
4.0|Jan 9, 2019|Talend Data Fabric|Data and Analytics|<50M USD|IT Services Industry|Graphical visualization of the actions and interrelated between the tables of a database|The Talend solution is used in our company to facilitate the data migration of our new customers in order to transfer the information of a database system (and relationship of tables) to our database system. ...
4.0|Jan 8, 2019|Talend Data Fabric|Data and Analytics|1B - 3B USD|Retail Industry|A vendor with a very clear vision|Talend is a vendor with a very clear vision. It shares its product roadmap with customers. The company always tries to stay ahead of competitors. Its customer service is above the peer group.
5.0|Dec 6, 2018|Talend Platform for Big Data Integration (Legacy)|Research and Development|1B - 3B USD|Retail Industry|Powerful tool to integrate various sources with vast number of components|I have used tool to build many workflows. one ex: Integration of google cloud and big query with data from SQL server by applying many business rules along with proper error handling and notification. Ease of using components make the tool very handy. As tool basically creates java ...
3.0|Jan 20, 2019|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|<50M USD|Finance (non-banking) Industry|Talend is easy and flexible but the integration with BQ is not smooth|The tool is flexible (comparing to the new etl tools which are not flexible at all), but the flow of Talend -BQ is not so easy.
5.0|Oct 23, 2018|Talend Data Fabric|IT Services|50M - 250M USD|Banking Industry|Database integration|this integration tool allows many communications regardless of the database that we have at the hand of anyone else to extract and where we want it or see it is very easy to achieve a fast interaction without loss of data
5.0|Oct 25, 2018|Talend Data Fabric|Other|30B + USD|Retail Industry|Easy implementation but TAC required so much memory for remote user access to the tool.|Everything worked well, some more components should be added but unit testing is limited.Easy implementation but TAC required so much memory for remote user access to the tool.
4.0|Oct 26, 2018|Talend Data Fabric|IT|250M - 500M USD|Manufacturing Industry|Initial confusion in TIC /TAC - skies cleared and the future is sunny|When we had questions we were able to engage with technical support and get our questions answered. This required us engaging with professional services arm of Talend, but the value was worth the cost. We are successfully using the tool.
5.0|Sep 6, 2018|Talend Data Fabric|Data and Analytics|250M - 500M USD|Retail Industry|Data Integration Solution for all size of needs|Talend is a fast growing company providing lots of solution for managing data. We started small with the Data Integration solution, but we are thinking about integrating the MDM platform, as well as the Data Quality & Data Stewardship components. There is a strong community and a lot of ...
4.0|Sep 3, 2018|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|10B - 30B USD|Finance (non-banking) Industry|Implementation and working is very user friendly, just need to be a little more fast.|The applicatiojn has all the features that can be sought from a tool, only just it has to be more rhobust and a developer always wants more feature and more power. More opportunities also.
4.0|Oct 25, 2018|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|3B - 10B USD|Insurance (except health) Industry|Rich Functionality|Talend is an excellent ETL tool with rich functionality and Talend company has great Roadmap to fulfill customer needs.
4.0|Sep 17, 2018|Talend Platform for Big Data Integration (Legacy)|Software Development|3B - 10B USD|Consumer Goods Industry|Loved by our developpers and very tech reactive.|The product was really helpful with all the technical challenges we had to face. They have to work to propose easier commercial interactions to get a 5* !
5.0|Sep 24, 2018|Talend Data Fabric|IT|50M - 250M USD|Media Industry|Extensive integrations options and straightforward implementation|Extensive integration options, intuitive interfaces for configurations, robust, and stable platform. A very reasonable implementation and support experience.
5.0|Sep 5, 2018|Talend Data Fabric|Software Development|<50M USD|IT Services Industry|Very powerful, very simple implementation... I can't do without|I don't have another experience with a similar product but I can't do without. The solution answer to all data integration needs. The development is easy and quikly. I started with the open source solution. Very quickly I needed a production system. With the enterprise solution, I can manage, ...
5.0|Oct 18, 2018|Talend Data Fabric|Data and Analytics|1B - 3B USD|Travel and Hospitality Industry|Great scalable product and company|Great account (local) and product team (central) and eager to understand how the product can be improved.
5.0|May 5, 2018|Talend Platform for Data Services (Legacy)|IT Services|1B - 3B USD|Telecommunication Industry|As a low code, easy to maintain, integration solution, Talend seems to hit the mark.|Overall experience has been very positive. This tool allows integration engineers to use a low code solution to write scripts visually. Being able to write complex scripts visually with the studio makes for very fast turnaround of these complex integrations that need to be built. Maintenance of ...
4.0|Jul 17, 2018|Talend Data Fabric|General Management|50M - 250M USD|IT Services Industry|Good bid and simple implementation|Simple contact and good bid, dedicated to our needs. Fast delivering after order was booked and product simple to implemente
5.0|Jun 4, 2018|Talend Data Management Platform (Legacy)|IT|500M - 1B USD|Education Industry|Fantastic software with impressive support from the supplier|A good experience all round - the software worked as promised, and great support on implementation from Talend
5.0|May 10, 2018|Talend Platform for Data Services (Legacy)|Data and Analytics|3B - 10B USD|Consumer Goods Industry|Talend - A valuable partner in helping us reach our goals|Talend has been a valuable partner in helping us reach our goals regarding big data/data lake integration. Talend worked with us to understand our specific needs and validated product functionality was a fit to our project goals.
5.0|May 14, 2018|Talend Data Fabric|IT|10B - 30B USD|Finance (non-banking) Industry|Very focused on customer success wrapped around a tool that just works!|Very focused on customer success wrapped around a tool that just works! Very responsive to customer needs both stratetgically and tactically. Engaged from account management through to executive management. Has one of the strongest leadership teams I?ve ever worked with in 28 ...
5.0|May 14, 2018|Talend Data Fabric|Data and Analytics|3B - 10B USD|IT Services Industry|Data mobilization platform|Leveraging the product and a major big data platform works really well takes time for the team to grasp the concepts but over time seems to go pretty quickly and I love the fact that the product is the only thing in our organization that?s wildly adopted it is our data integration platform ...
4.0|May 1, 2018|Talend Platform for Big Data Integration (Legacy)|IT|3B - 10B USD|Healthcare and Biotech Industry|Overall, tool is rich in functionality and support is above average.|Overall, tool is rich in functionality and support is above average. The big data capability runs well on our Cloudera cluster.
4.0|Mar 6, 2018|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|10B - 30B USD|Miscellaneous Industry|Strong product base and willingness to grow with us|Not perfect by any means but platform is a great starting point for us and established a partnership that we can grow and leverage.
4.0|Apr 3, 2018|Talend Platform for Big Data Integration (Legacy)|Data and Analytics|30B + USD|Healthcare and Biotech Industry|Innovative Company|Overall positive experience with this responsive company which is on its feet on innovation. Needs to keep improve on its tools or risk getting left behind
5.0|May 3, 2018|Talend Platform for Data Services (Legacy), Talend Data Fabric, Talend Data Management Platform (Legacy)|IT|250M - 500M USD|Insurance (except health) Industry|Talend- a powerful development and integration platform built on Open Source.|This platform allows us to rapidly implement complex application integrations via ETL, Web Services, and ESB messaging. Talend is a powerful development platform based on Open Source technologies that offers many OOTB components and the ability to extend with custom code. ...
4.0|Jan 25, 2018|Talend Data Fabric|IT|1B - 3B USD|Banking Industry|Cost effective, customisable, agile data integration service platform|Comprehensive set of integration service options, customisability and extensibility of product, satisfactory vendor engagement but could have been bit more pro-active
